,id,Category_name,Category_number,Product,Manufacturer / product label / country of origin,Procured_in,Antioxidant_content_in_mmol/100g,Comment,Query,Amazon_url
76,77,Berries and berry products,1,"Juice, cranberry",Ocean Spray,USA,1.0,3,Juice++cranberry,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Juice++cranberry
77,78,Berries and berry products,1,"Juice, cranberry, juice cocktail",Roche Bros,USA,0.96,3,Juice++cranberry++juice+cocktail,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Juice++cranberry++juice+cocktail
78,79,Berries and berry products,1,"Juice, cranberry, juice cocktail",Stop&Shop,USA,0.86,3,Juice++cranberry++juice+cocktail,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Juice++cranberry++juice+cocktail
79,80,Berries and berry products,1,"Juice, cranberry, juice cocktail",Ocean Spray,USA,1.01,6,Juice++cranberry++juice+cocktail,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Juice++cranberry++juice+cocktail
80,81,Berries and berry products,1,"Juice, Mana Blå, grape, blueberry, aronia, cherry","Tine, Norway",Norway,2.0,3,Juice++Mana+Blå++grape++blueberry++aronia++cherry,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Juice++Mana+Blå++grape++blueberry++aronia++cherry
81,82,Berries and berry products,1,"Juice, Mana Gul, dog rose and orange","Tine, Norway",Norway,2.57,3,Juice++Mana+Gul++dog+rose+and+orange,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Juice++Mana+Gul++dog+rose+and+orange
82,83,Berries and berry products,1,"Juice, Mana Rød, cranberries, raspberries and grapes","Tine, Norway",Norway,0.67,3,Juice++Mana+Rød++cranberries++raspberries+and+grapes,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Juice++Mana+Rød++cranberries++raspberries+and+grapes
83,84,Berries and berry products,1,"Juice, raspberry","Bræmhults, Sweden",Norway,0.78,3,Juice++raspberry,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Juice++raspberry
84,85,Berries and berry products,1,"Juice, strawberry","Bræmhults, Sweden",Norway,0.43,3,Juice++strawberry,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Juice++strawberry
85,86,Berries and berry products,1,"Raspberries, cultivated",,USA,2.33,6,Raspberries++cultivated,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Raspberries++cultivated
86,87,Berries and berry products,1,"Raspberries, cultivated",Norway,Norway,3.35,3,Raspberries++cultivated,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Raspberries++cultivated
87,88,Berries and berry products,1,"Raspberries, Dessert Berries, without sugar, frozen","Norske Dessertbær, Norway (berries from Poland)",Norway,3.46,3,Raspberries++Dessert+Berries++without+sugar++frozen,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Raspberries++Dessert+Berries++without+sugar++frozen
